TimeUS,GPS_Lat,GPS_Lng,GPS_Alt,EKF_Lat,EKF_Lng,EKF_Alt,Guided_Lat,Guided_Lng,Guided_Alt
1267345578,36.0757789,136.2132966,0.53,,,,,,
1267365741,36.0757789,136.2132966,0.53,,,,,,
1267368559,,,,36.0757789,136.2132966,0.5099999904632568,,,
1267385477,36.0757789,136.2132966,0.53,,,,,,
1267405458,36.0757789,136.2132966,0.53,,,,,,
1267425844,36.0757789,136.2132966,0.53,,,,,,
1267445470,36.0757789,136.2132966,0.53,,,,,,
1267468533,,,,36.0757789,136.2132966,0.5099999904632568,,,
1267485477,36.0757789,136.2132966,0.53,,,,,,
1267505477,36.0757789,136.2132966,0.53,,,,,,
1267525731,36.0757789,136.2132966,0.53,,,,,,
1267565701,36.0757789,136.2132966,0.53,,,,,,
1267568563,,,,36.0757789,136.2132966,0.5099999904632568,,,
1267585518,36.0757789,136.2132966,0.53,,,,,,
1267625708,36.0757789,136.2132966,0.53,,,,,,
1267665690,36.0757789,136.2132966,0.53,,,,,,
1267668510,,,,36.0757789,136.2132966,0.5,,,
1267685535,36.0757789,136.2132966,0.53,,,,,,
1267705499,36.0757789,136.2132966,0.53,,,,,,
1267725908,36.0757789,136.2132966,0.53,,,,,,
1267745472,36.0757789,136.2132966,0.53,,,,,,
1267765718,36.0757789,136.2132966,0.53,,,,,,
1267768353,,,,36.0757789,136.2132966,0.5,,,
1267825702,36.0757789,136.2132966,0.53,,,,,,
1267845527,36.0757789,136.2132966,0.53,,,,,,
1267865713,36.0757789,136.2132966,0.53,,,,,,
1267868336,,,,36.0757789,136.2132966,0.5,,,
1267885569,36.0757789,136.2132966,0.53,,,,,,
1267925711,36.0757789,136.2132966,0.53,,,,,,
1267945538,36.0757789,136.2132966,0.53,,,,,,
1267968306,,,,36.0757789,136.2132966,0.5,,,
1267985469,36.0757789,136.2132966,0.53,,,,,,
1268025684,36.0757789,136.2132966,0.53,,,,,,
1268045493,36.0757789,136.2132966,0.53,,,,,,
1268065713,36.0757789,136.2132966,0.53,,,,,,
1268068386,,,,36.0757789,136.2132966,0.5,,,
1268085534,36.0757789,136.2132966,0.53,,,,,,
1268125712,36.0757789,136.2132966,0.53,,,,,,
1268145536,36.0757789,136.2132966,0.53,,,,,,
1268165824,36.0757789,136.2132966,0.53,,,,,,
1268168358,,,,36.0757789,136.2132966,0.5,,,
1268185539,36.0757789,136.2132966,0.53,,,,,,
1268225700,36.0757789,136.2132966,0.53,,,,,,
1268245520,36.0757789,136.2132966,0.53,,,,,,
1268265726,36.0757789,136.2132966,0.53,,,,,,
1268268360,,,,36.0757789,136.2132966,0.5,,,
1268305527,36.0757789,136.2132966,0.53,,,,,,
1268345470,36.0757789,136.2132966,0.53,,,,,,
1268368521,,,,36.0757789,136.2132966,0.5,,,
1268385477,36.0757789,136.2132966,0.53,,,,,,
1268405529,36.0757789,136.2132966,0.53,,,,,,
1268445483,36.0757789,136.2132966,0.53,,,,,,
1268465691,36.0757789,136.2132966,0.53,,,,,,
1268468414,,,,36.0757789,136.2132966,0.5,,,
1268485494,36.0757789,136.2132966,0.53,,,,,,
1268505476,36.0757789,136.2132966,0.53,,,,,,
1268525713,36.0757789,136.2132966,0.53,,,,,,
1268545485,36.0757789,136.2132966,0.53,,,,,,
1268565708,36.0757789,136.2132966,0.53,,,,,,
1268568322,,,,36.0757789,136.2132966,0.5,,,
1268605514,36.0757789,136.2132966,0.53,,,,,,
1268625728,36.0757789,136.2132966,0.53,,,,,,
1268665813,36.0757789,136.2132966,0.53,,,,,,
1268668374,,,,36.0757789,136.2132966,0.5,,,
1268685529,36.0757789,136.2132966,0.53,,,,,,
1268705541,36.0757789,136.2132966,0.53,,,,,,
1268745537,36.0757789,136.2132966,0.53,,,,,,
1268768538,,,,36.0757789,136.2132966,0.5,,,
1268785506,36.0757789,136.2132966,0.53,,,,,,
1268805489,36.0757789,136.2132966,0.53,,,,,,
1268845473,36.0757789,136.2132966,0.53,,,,,,
1268865541,36.0757789,136.2132966,0.53,,,,,,
1268868533,,,,36.0757789,136.2132966,0.5,,,
1268885476,36.0757789,136.2132966,0.53,,,,,,
